Index,Day,ID,daylength,leaves,days_since_germ,days_since_trueleaf,,,,,,ID,Day_length,Mutilated,Date_germ,Date_trueleaf,Days from germination to first true leaf,Date 2nd leaf,Date infl. emerge,germ to repro,true leaf to repro
1,9/28/2022,S1,Short,NA,6,,,,,,,S1,Short,,9/22,10/3,11,10/11,11/30,69,58
2,9/29/2022,S1,Short,NA,7,,,,,,,S2,Short,MUTILATED,9/22,9/30,8,10/10,11/30,69,61
3,9/30/2022,S1,Short,NA,8,,,,,,,S3,Short,,9/22,10/1,9,10/10,11/30,69,60
4,10/1/2022,S1,Short,NA,9,,,,,,,S4,Short,,9/22,10/4,12,10/9,,,
5,10/2/2022,S1,Short,NA,10,,,,,,,S5A,Short,,9/22,10/1,9,10/9,12/2,71,62
6,10/3/2022,S1,Short,NA,11,,,,,,,S5B,,,9/22,10/1,9,10/9,12/4,73,64
7,10/4/2022,S1,Short,NA,12,,,,,,,S6,Short,,9/22,10/4,12,10/19,,,
8,10/5/2022,S1,Short,2,13,2,,,,,,S7A,Short,,9/23,10/1,8,10/14,11/30,68,60
9,10/6/2022,S1,Short,NA,14,3,,,,,,S7B,,,9/23,10/1,8,10/14,12/4,72,64
10,10/7/2022,S1,Short,NA,15,4,,,,,,S9,Short,,9/23,9/30,7,10/7,12/17,85,78
11,10/8/2022,S1,Short,NA,16,5,,,,,,S10,Short,,9/23,10/1,8,10/19,,,
12,10/9/2022,S1,Short,NA,17,6,,,,,,S11,Short,,9/23,10/1,8,10/5,11/30,68,60
13,10/10/2022,S1,Short,NA,18,7,,,,,,S12,Short,,9/23,10/2,9,10/9,,,
14,10/11/2022,S1,Short,NA,19,8,,,,,,S13,Short,,9/25,10/7,12,10/16,11/30,66,54
15,10/12/2022,S1,Short,NA,20,9,,,,,,S15,Short,,9/25,10/4,9,10/10,11/30,66,57
16,10/13/2022,S1,Short,NA,21,10,,,,,,S16,Short,,9/25,10/7,12,10/12,,,
17,10/14/2022,S1,Short,NA,22,11,,,,,,S17,Short,,9/25,10/6,11,10/10,12/2,68,57
18,10/15/2022,S1,Short,NA,23,12,,,,,,S18,Short,MUTILATED,9/26,10/6,10,10/10,11/30,65,55
19,10/16/2022,S1,Short,NA,24,13,,,,,,S20,Short,,9/26,10/10,14,10/17,,,
20,10/17/2022,S1,Short,NA,25,14,,,,,,S21,Short,,9/26,10/12,16,10/17,11/30,65,49
21,10/18/2022,S1,Short,NA,26,15,,,,,,S22,Short,MUTILATED,9/26,10/7,11,10/18,11/30,65,54
22,10/19/2022,S1,Short,NA,27,16,,,,,,S23,Short,,9/26,10/8,12,10/12,12/15,80,68
23,10/21/2022,S1,Short,3,29,18,,,,,,S24,Short,,9/26,10/6,10,10/12,11/30,65,55
24,10/24/2022,S1,Short,NA,32,21,,,,,,S25,Short,,9/27,10/4,7,10/12,11/30,64,57
25,10/24/2022,S1,Short,3,32,21,,,,,,S26,Short,,9/29,10/12,13,10/19,12/4,66,53
26,10/25/2022,S1,Short,NA,33,22,,,,,,S27,Short,,9/29,10/12,13,10/14,12/4,66,53
27,10/26/2022,S1,Short,4,34,23,,,,,,S29,Short,,10/10,10/12,2,10/16,11/30,51,49
28,10/27/2022,S1,Short,4,35,24,,,,,,S30,Short,MUTILATED,10/10,10/19,9,10/16,,,
29,10/31/2022,S1,Short,5,39,28,,,,,,S31,Short,MUTILATED,10/10,10/17,7,10/24,11/30,51,44
30,11/2/2022,S1,Short,5,41,30,,,,,,S32,Short,,10/12,10/19,7,,11/30,49,42
